Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
1998-12-30;8;22;25;26;32;37;35
1998-12-26;8;15;19;32;36;38;2
1998-12-23;4;13;32;36;38;41;10
1998-12-19;1;16;18;20;29;40;21
1998-12-16;7;11;16;19;22;38;6
1998-12-12;11;12;16;33;34;40;23
1998-12-09;10;13;23;24;31;37;15
1998-12-05;4;5;8;9;24;26;15
1998-12-02;3;12;21;27;35;37;31
1998-11-28;4;20;31;32;40;41;42
1998-11-25;8;12;19;26;40;41;7
1998-11-21;3;6;8;17;35;37;5
1998-11-18;4;11;14;20;21;41;26
1998-11-14;14;20;27;29;34;41;1
1998-11-11;2;6;12;26;33;34;14
1998-11-07;6;8;14;29;36;39;38
1998-11-04;1;7;27;37;39;40;20
1998-10-31;8;14;22;27;35;42;15
1998-10-28;2;3;4;7;14;31;5
1998-10-24;9;12;14;31;39;40;29
1998-10-21;3;5;11;23;30;34;41
1998-10-17;2;4;19;34;37;39;16
1998-10-14;2;13;30;34;38;40;12
1998-10-10;9;22;23;24;27;32;30
1998-10-07;1;14;18;28;30;42;9
1998-10-03;20;22;23;29;40;42;18
1998-09-30;5;12;17;18;35;37;11
1998-09-26;20;24;26;30;33;35;12
1998-09-23;6;16;19;28;36;40;8
1998-09-19;5;9;25;26;27;42;7
1998-09-16;7;15;19;33;38;40;21
1998-09-12;5;17;18;24;28;30;21
1998-09-09;1;4;6;8;20;33;19
1998-09-05;1;3;16;19;20;31;12
1998-09-02;9;12;14;23;35;38;13
1998-08-29;8;10;14;17;22;38;12
1998-08-26;2;7;8;12;30;37;41
1998-08-22;3;4;6;9;19;21;42
1998-08-19;3;12;28;30;37;40;32
1998-08-15;5;8;19;20;34;37;26
1998-08-12;6;10;14;22;34;41;26
1998-08-08;1;6;16;17;23;39;24
1998-08-05;3;12;13;18;19;37;17
1998-08-01;5;7;14;19;26;39;29
1998-07-29;1;4;8;28;31;41;38
1998-07-25;9;13;25;29;31;32;34
1998-07-22;10;11;13;16;27;37;33
1998-07-18;9;13;22;25;29;37;5
1998-07-15;1;6;13;15;31;35;20
1998-07-11;7;18;19;24;33;37;12
1998-07-08;21;29;31;34;38;41;35
1998-07-04;4;8;17;21;22;37;41
1998-07-01;4;9;18;19;30;38;24
1998-06-27;5;12;16;20;26;42;38
1998-06-24;6;10;12;21;28;35;2
1998-06-20;4;16;25;35;36;41;6
1998-06-17;11;15;16;21;29;32;31
1998-06-13;3;6;14;15;18;36;2
1998-06-10;5;24;28;31;35;39;15
1998-06-06;16;22;25;27;30;33;41
1998-06-03;7;9;12;13;14;19;16
1998-05-30;1;21;23;26;41;42;38
1998-05-27;13;14;23;25;26;33;9
1998-05-23;5;10;21;24;27;36;4
1998-05-20;7;9;21;27;34;38;20
1998-05-16;2;9;16;21;30;42;27
1998-05-13;18;29;30;34;38;39;31
1998-05-09;12;13;24;30;32;35;26
1998-05-06;8;18;29;30;34;36;26
1998-05-02;3;11;20;25;28;37;33
1998-04-29;12;15;18;30;34;40;4
1998-04-25;3;4;8;11;36;41;35
1998-04-22;9;12;14;17;22;35;10
1998-04-18;1;6;29;31;41;42;13
1998-04-15;10;12;17;24;29;38;5
1998-04-11;8;10;13;24;25;40;12
1998-04-08;3;12;14;23;25;35;6
1998-04-04;16;17;21;26;33;38;34
1998-04-01;9;11;16;26;29;42;30
1998-03-28;7;10;17;25;26;35;9
1998-03-25;2;20;22;36;39;41;8
1998-03-21;11;12;14;15;17;36;40
1998-03-18;9;10;13;20;21;22;6
1998-03-14;7;17;19;24;26;29;21
1998-03-11;1;2;3;9;32;36;11
1998-03-07;14;15;22;28;29;39;1
1998-03-04;9;14;16;25;38;41;21
1998-02-28;1;5;18;24;33;39;21
1998-02-25;2;11;12;13;14;24;15
1998-02-21;2;14;22;27;30;42;9
1998-02-18;14;15;20;21;32;35;28
1998-02-14;12;15;30;37;38;40;6
1998-02-11;3;9;12;17;19;29;13
1998-02-07;7;15;21;28;33;34;2
1998-02-04;7;15;19;20;21;22;3
1998-01-31;2;6;8;9;10;14;22
1998-01-28;10;23;25;29;32;37;31
1998-01-24;19;22;31;32;38;41;6
1998-01-21;12;15;28;31;36;42;5
1998-01-17;10;14;29;30;32;38;35
1998-01-14;6;7;24;34;41;42;26
1998-01-10;1;8;34;37;41;42;15
1998-01-07;9;14;16;25;37;38;32
1998-01-03;4;12;17;31;35;41;27
