Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2006-12-29;6;9;13;14;35;3;4
2006-12-22;9;11;20;38;43;2;3
2006-12-15;9;23;35;37;42;3;7
2006-12-08;16;17;18;36;47;1;2
2006-12-01;4;8;16;37;41;2;5
2006-11-24;5;8;17;25;40;1;5
2006-11-17;12;22;32;33;36;2;6
2006-11-10;14;21;27;30;36;2;3
2006-11-03;11;13;24;44;49;3;9
2006-10-27;3;4;8;44;50;7;8
2006-10-20;10;19;34;45;47;3;6
2006-10-13;2;25;32;38;41;3;5
2006-10-06;5;11;22;35;38;7;8
2006-09-29;1;3;6;18;24;5;8
2006-09-22;10;29;30;45;49;3;8
2006-09-15;6;10;16;26;49;7;9
2006-09-08;1;10;12;32;33;1;8
2006-09-01;3;7;25;45;50;6;9
2006-08-25;10;28;40;47;48;6;8
2006-08-18;12;37;39;40;50;1;2
2006-08-11;27;28;31;46;47;2;5
2006-08-04;1;14;15;26;32;3;7
2006-07-28;3;8;12;29;43;6;7
2006-07-21;2;4;9;38;50;6;8
2006-07-14;1;7;17;31;36;2;8
2006-07-07;7;9;18;35;43;5;7
2006-06-30;6;15;16;40;43;1;2
2006-06-23;9;21;30;43;44;1;9
2006-06-16;1;16;26;30;36;3;9
2006-06-09;3;12;15;34;39;4;6
2006-06-02;7;8;27;41;48;1;6
2006-05-26;2;12;21;41;49;3;7
2006-05-19;3;5;25;34;49;5;8
2006-05-12;5;20;23;34;50;1;5
2006-05-05;4;8;14;16;50;3;9
2006-04-28;5;10;17;22;33;5;7
2006-04-21;1;20;22;37;46;1;9
2006-04-14;16;26;34;35;49;2;6
2006-04-07;12;13;29;44;50;4;5
2006-03-31;3;20;31;45;50;6;7
2006-03-24;17;28;33;35;47;4;9
2006-03-17;5;32;44;45;50;1;7
2006-03-10;1;21;33;45;49;4;8
2006-03-03;3;5;8;10;44;3;5
2006-02-24;1;11;18;19;47;3;7
2006-02-17;4;23;24;26;38;2;4
2006-02-10;5;6;38;48;50;6;7
2006-02-03;9;21;30;39;50;1;3
2006-01-27;9;15;21;40;49;1;4
2006-01-20;12;15;33;44;50;2;6
2006-01-13;8;12;19;33;34;1;6
2006-01-06;2;6;9;14;26;4;5
