Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2007-12-31;4;7;12;21;25;30;32;33;39;40;44;50;52;53;58;64;65;69;70;80
2007-12-29;2;7;11;22;23;30;37;38;41;42;45;46;47;49;52;55;56;63;69;77
2007-12-28;1;8;14;16;17;28;29;30;31;41;47;49;51;56;57;60;66;71;73;79
2007-12-27;2;4;7;11;12;17;30;31;32;39;43;46;50;52;53;60;67;68;71;80
2007-12-26;7;11;12;13;19;20;24;26;27;29;34;39;40;45;52;54;60;62;76;77
2007-12-24;7;11;12;15;16;19;25;32;39;42;46;67;69;72;73;74;75;76;78;79
2007-12-22;1;3;8;10;14;21;23;24;25;26;32;35;40;48;51;54;58;62;63;76
2007-12-21;2;3;6;10;13;19;21;24;28;34;36;40;42;46;47;57;67;69;70;80
2007-12-20;1;2;4;8;16;17;22;26;28;37;39;41;50;53;57;63;65;70;77;80
2007-12-19;1;9;12;20;23;24;26;27;30;31;32;42;45;50;55;59;65;69;74;76
2007-12-18;1;2;9;10;11;16;24;28;29;30;31;32;33;39;50;57;59;61;77;78
2007-12-17;5;11;14;18;20;22;26;28;32;38;39;43;48;55;58;63;70;73;78;80
2007-12-15;1;6;7;13;14;15;21;23;27;34;38;49;51;52;60;69;71;72;75;78
2007-12-14;6;10;15;16;19;23;24;29;32;36;47;48;52;58;59;67;68;70;71;73
2007-12-13;2;5;8;16;20;23;24;28;29;33;35;39;41;46;48;51;61;67;72;78
2007-12-12;6;20;22;23;25;29;30;36;37;41;42;44;49;55;56;57;63;75;76;79
2007-12-11;7;11;17;22;24;28;29;30;35;39;44;53;55;59;61;62;66;70;78;79
2007-12-10;4;5;9;19;21;22;23;26;32;34;38;45;48;49;51;53;57;62;63;72
2007-12-08;1;9;14;25;31;32;34;36;39;41;45;46;48;53;61;65;76;77;79;80
2007-12-07;1;2;3;5;11;17;18;19;21;27;31;32;41;58;59;66;71;76;77;78
2007-12-06;7;9;12;16;20;21;31;32;33;35;41;45;55;61;62;64;66;71;73;79
2007-12-05;4;11;14;15;34;40;46;47;48;50;52;55;59;67;68;69;74;75;77;78
2007-12-04;1;2;11;14;26;27;29;31;33;39;40;42;45;46;47;49;52;55;63;76
2007-12-03;1;6;15;17;23;24;27;29;33;36;42;43;44;49;54;57;63;64;66;79
2007-12-01;3;6;11;12;17;21;23;24;29;30;35;44;48;52;59;62;67;71;79;80
2007-11-30;8;9;15;19;25;33;34;37;43;45;47;50;52;57;59;61;67;72;77;79
2007-11-29;6;9;14;15;16;21;23;31;32;34;35;38;43;44;45;50;55;62;65;77
2007-11-28;10;12;15;22;27;29;35;38;46;50;53;54;55;65;68;71;72;75;76;80
2007-11-27;2;7;8;9;11;17;25;26;28;30;32;36;39;42;45;46;54;65;71;76
2007-11-26;1;2;3;5;7;12;13;19;22;23;33;35;47;48;53;59;61;63;72;75
2007-11-24;7;9;16;17;19;24;25;26;34;38;40;41;42;48;49;53;54;55;57;76
2007-11-23;3;6;12;18;20;22;23;24;29;31;33;39;43;46;49;68;74;75;78;79
2007-11-22;1;2;6;8;23;27;28;29;30;32;35;42;51;52;58;59;62;66;67;76
2007-11-21;4;9;12;15;18;23;28;30;35;36;48;49;60;61;62;64;69;71;73;75
2007-11-20;1;5;7;11;18;21;24;25;26;31;45;46;49;51;59;60;63;66;68;69
2007-11-19;5;10;12;16;26;29;32;36;45;48;55;56;59;61;65;66;69;70;72;79
2007-11-17;1;3;4;14;15;19;27;32;36;38;40;51;54;56;59;63;64;67;71;72
2007-11-16;9;16;17;21;33;34;38;39;43;49;53;54;58;65;67;69;74;75;79;80
2007-11-15;6;7;10;16;23;24;27;30;31;36;41;47;55;56;68;71;72;74;76;79
2007-11-14;2;3;4;5;14;17;30;40;41;45;47;50;51;52;55;59;62;63;70;71
2007-11-13;1;3;7;8;11;13;15;19;22;34;35;36;44;52;53;54;63;66;70;80
2007-11-12;2;11;17;18;21;27;31;34;35;41;44;45;47;52;53;60;63;64;67;71
2007-11-10;2;3;10;12;15;17;21;22;24;33;36;40;42;46;53;57;61;69;71;74
2007-11-09;5;9;20;21;23;30;34;40;43;48;57;59;60;65;67;68;73;78;79;80
2007-11-08;17;18;22;23;25;33;37;45;47;48;52;53;54;57;59;61;62;67;72;78
2007-11-07;1;6;9;11;14;23;24;32;35;38;41;43;44;56;63;67;70;74;75;79
2007-11-06;2;5;10;11;15;17;19;20;23;29;31;32;42;47;56;58;60;65;68;78
2007-11-05;12;13;15;21;28;38;41;43;45;49;53;54;57;58;59;60;63;71;73;76
2007-11-03;1;2;7;8;13;14;17;24;26;31;42;43;47;52;53;59;63;64;70;79
2007-11-02;1;2;5;6;12;15;17;21;24;31;32;34;44;47;48;54;59;69;70;75
2007-10-31;1;2;7;9;10;13;20;24;26;27;29;30;32;41;42;43;45;53;67;80
2007-10-30;1;2;6;8;9;13;15;25;28;38;40;45;47;49;53;55;58;65;68;71
2007-10-29;1;2;5;6;10;14;18;22;26;30;33;40;45;47;55;57;74;76;77;80
2007-10-27;5;11;12;27;30;31;37;38;39;40;42;44;46;58;61;62;65;67;70;76
2007-10-26;5;11;14;15;19;24;28;31;35;42;49;50;52;54;55;56;65;67;68;77
2007-10-25;11;19;25;26;27;28;30;32;36;39;40;43;49;50;57;58;64;70;78;79
2007-10-24;10;12;13;15;20;22;32;33;35;36;40;43;46;53;56;61;71;72;75;77
2007-10-23;12;13;18;19;20;22;39;40;42;44;45;46;47;49;52;57;58;65;71;78
2007-10-22;13;18;21;23;25;27;39;42;45;46;49;51;54;56;60;65;66;77;78;80
2007-10-20;5;10;15;22;26;29;30;31;34;40;44;48;51;58;61;65;69;75;77;80
2007-10-19;4;10;14;15;16;25;31;33;36;40;44;49;52;53;54;59;64;67;68;78
2007-10-18;6;8;10;15;22;26;28;33;36;39;41;45;48;52;56;57;65;66;68;77
2007-10-17;2;5;6;7;12;25;27;29;35;47;52;55;60;63;64;66;67;68;75;76
2007-10-16;3;7;9;10;17;23;25;26;29;32;33;36;41;47;62;63;64;66;68;70
2007-10-15;3;5;8;17;20;22;24;28;30;32;40;43;46;57;58;65;68;70;77;80
2007-10-13;1;4;5;7;8;19;29;38;39;43;50;51;58;61;70;72;74;78;79;80
2007-10-12;11;14;15;23;28;29;30;32;33;37;46;50;51;53;54;55;56;61;69;79
2007-10-11;6;7;10;14;19;20;21;25;27;31;32;35;48;52;59;61;62;74;76;80
2007-10-10;7;9;11;14;17;20;25;26;30;33;37;40;42;48;53;64;65;75;77;79
2007-10-09;1;7;8;11;13;15;16;19;28;30;34;38;39;49;55;59;63;67;68;80
2007-10-08;3;7;9;13;21;22;23;26;28;32;36;39;40;52;54;56;57;62;67;72
2007-10-06;4;9;10;15;20;23;26;28;32;37;39;42;46;47;51;52;59;68;73;75
2007-10-05;2;15;17;18;19;32;39;41;43;44;45;48;50;58;60;63;69;72;75;79
2007-10-04;7;8;10;15;22;25;26;30;31;37;39;47;48;52;54;59;61;68;73;76
2007-10-03;4;8;24;26;30;31;35;37;40;44;49;55;56;62;70;71;74;78;79;80
2007-10-02;4;7;10;11;22;25;31;37;42;45;48;51;52;57;60;62;63;64;77;80
2007-10-01;1;4;10;15;23;28;31;34;35;37;49;52;56;62;63;69;71;75;76;79
2007-09-29;2;6;7;8;24;26;30;32;33;34;38;40;46;52;56;65;69;71;74;78
2007-09-28;4;7;12;14;25;27;28;32;39;43;49;50;54;59;61;67;69;72;78;80
2007-09-27;1;3;10;13;14;16;17;21;25;31;35;39;42;48;61;62;63;68;72;80
2007-09-26;5;6;11;13;15;18;24;25;26;35;38;42;48;51;54;58;59;63;75;77
2007-09-25;2;3;6;8;11;13;26;31;38;40;42;43;46;57;64;68;74;75;77;79
2007-09-24;1;10;12;30;31;33;38;43;45;51;52;58;61;62;65;67;68;75;77;79
2007-09-22;4;5;9;10;12;16;23;24;26;45;46;52;59;60;63;66;69;71;73;74
2007-09-21;3;6;8;12;14;15;18;25;27;29;33;34;35;44;46;51;54;67;69;78
