Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2023-12-31;3;4;5;6;9;17;18;19;28;29;32;33;40;43;44;49;56;59;62;68
2023-12-30;3;23;24;25;27;30;39;40;41;44;46;51;54;55;56;57;64;65;66;67
2023-12-29;1;3;5;9;11;21;26;27;31;32;35;36;37;38;42;48;50;53;59;62
2023-12-28;2;20;21;28;29;35;36;37;38;42;44;47;49;53;54;60;64;66;68;70
2023-12-27;3;8;16;25;26;27;29;32;35;39;40;41;42;44;48;50;52;53;57;61
2023-12-26;2;4;10;13;14;18;22;24;26;29;30;31;35;37;55;58;59;60;64;66
2023-12-25;3;4;11;15;20;23;25;26;27;29;37;41;42;45;58;60;62;64;65;69
2023-12-24;1;3;6;12;19;21;23;28;31;34;44;46;47;49;51;53;59;65;66;67
2023-12-23;5;9;16;17;20;21;24;25;26;34;36;41;42;49;50;51;60;65;67;68
2023-12-22;3;7;9;11;15;16;30;31;32;33;38;39;44;47;48;49;53;56;61;64
2023-12-21;1;3;10;11;17;22;24;28;30;34;38;40;42;46;49;52;55;61;67;69
2023-12-20;6;10;12;13;15;20;25;29;33;40;41;43;45;48;51;54;60;61;65;70
2023-12-19;1;5;9;10;13;16;20;22;23;31;32;37;38;40;42;46;54;55;62;69
2023-12-18;1;4;5;11;15;17;29;37;40;42;45;47;48;49;52;54;55;66;69;70
2023-12-17;8;12;13;18;19;26;27;28;31;32;40;42;44;48;51;57;58;61;63;68
2023-12-16;1;12;15;17;27;28;31;32;36;45;46;47;50;55;57;58;59;62;65;68
2023-12-15;5;10;16;19;27;31;32;36;38;39;42;46;49;54;55;58;59;64;67;68
2023-12-14;1;2;3;5;9;11;19;21;22;29;32;43;45;49;58;64;65;66;67;69
2023-12-13;3;8;10;13;15;16;20;22;34;45;47;49;52;53;59;62;63;66;69;70
2023-12-12;1;4;5;7;8;11;15;18;20;23;24;34;37;40;48;52;56;63;64;70
2023-12-11;5;7;9;11;13;23;28;30;37;43;49;51;56;59;61;63;65;67;68;69
2023-12-10;3;15;17;19;23;24;27;29;33;36;37;39;40;43;57;58;60;64;65;69
2023-12-09;1;2;4;6;9;14;15;18;19;32;35;37;41;42;45;48;55;59;62;69
2023-12-08;5;11;12;20;22;24;26;33;35;36;46;47;51;52;54;59;60;64;67;68
2023-12-07;6;7;8;9;10;13;21;22;36;39;40;42;45;47;51;54;55;58;60;69
2023-12-06;8;10;20;23;24;27;29;36;38;39;43;44;47;50;53;54;60;61;63;66
2023-12-05;5;7;8;9;11;19;24;29;30;36;40;42;44;45;46;50;53;62;66;69
2023-12-04;1;2;10;11;13;20;27;28;32;34;37;40;44;49;50;51;52;60;68;69
