Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
1995-12-30;16;25;31;39;40;41;21
1995-12-27;12;22;27;31;34;38;33
1995-12-23;6;10;14;19;32;41;33
1995-12-20;9;15;20;26;30;34;25
1995-12-16;5;14;16;19;22;42;17
1995-12-13;4;12;17;18;26;31;33
1995-12-09;2;5;17;18;35;40;6
1995-12-06;10;30;31;33;35;37;2
1995-12-02;5;6;14;21;28;33;4
1995-11-29;6;8;18;20;22;26;33
1995-11-25;6;12;22;33;38;39;26
1995-11-22;13;21;22;25;30;37;19
1995-11-18;2;10;17;20;22;39;28
1995-11-15;1;7;19;25;27;33;9
1995-11-11;3;6;22;24;29;36;14
1995-11-08;1;19;27;33;34;39;36
1995-11-04;2;5;22;32;34;40;30
1995-11-01;5;17;22;34;37;38;30
1995-10-28;14;18;20;21;32;35;19
1995-10-25;2;6;30;32;33;40;25
1995-10-21;8;15;17;18;19;26;30
1995-10-18;8;14;25;35;36;42;33
1995-10-14;2;10;12;23;33;38;17
1995-10-11;15;17;30;32;34;36;13
1995-10-07;4;7;22;26;36;37;13
1995-10-04;1;11;12;23;30;34;26
1995-09-30;6;9;12;15;27;37;32
1995-09-27;4;7;11;36;39;40;18
1995-09-23;1;4;7;27;36;38;28
1995-09-20;11;20;23;24;25;28;21
1995-09-16;11;17;28;33;36;41;2
1995-09-13;15;19;24;35;40;42;5
1995-09-09;10;12;22;23;25;35;5
1995-09-06;12;22;29;34;38;41;27
1995-09-02;11;12;28;32;33;42;17
1995-08-30;5;14;15;21;37;38;20
1995-08-26;4;20;21;24;29;35;7
1995-08-23;3;4;13;29;35;41;40
1995-08-19;1;12;13;17;28;41;2
1995-08-16;1;6;15;21;29;39;35
1995-08-12;14;17;30;33;36;42;6
1995-08-09;2;3;8;14;27;40;21
1995-08-05;1;5;19;28;37;42;36
1995-08-02;5;12;25;26;32;36;34
1995-07-29;1;9;14;27;31;41;18
1995-07-26;2;7;14;15;37;42;41
1995-07-22;1;7;8;13;37;39;28
1995-07-19;1;10;12;21;27;40;33
1995-07-15;9;20;24;28;33;34;32
1995-07-12;2;11;24;25;32;34;3
1995-07-08;2;7;10;23;26;35;29
1995-07-05;5;11;13;15;22;25;12
1995-07-01;1;15;18;23;26;39;31
1995-06-28;5;8;14;27;29;41;30
1995-06-24;16;19;31;33;37;38;22
1995-06-21;12;15;20;27;35;36;34
1995-06-17;1;24;29;30;36;42;17
1995-06-14;2;26;31;36;37;39;34
1995-06-10;11;17;24;26;32;38;23
1995-06-07;1;15;16;18;26;27;41
1995-06-03;2;4;17;19;26;39;21
1995-05-31;1;8;13;18;19;41;4
1995-05-27;10;16;28;30;33;42;12
1995-05-24;9;17;23;31;36;38;20
1995-05-20;9;18;20;26;32;37;2
1995-05-17;5;8;12;17;31;42;24
1995-05-13;5;15;17;19;23;24;3
1995-05-10;1;6;9;14;22;42;40
1995-05-06;5;14;22;23;28;39;34
1995-05-03;2;3;5;8;14;32;12
1995-04-29;2;6;11;14;17;32;13
1995-04-26;6;8;13;29;36;38;28
1995-04-22;3;4;8;11;26;29;23
1995-04-19;7;10;16;19;34;37;27
1995-04-15;4;10;20;28;35;38;13
1995-04-12;3;4;20;26;32;35;39
1995-04-08;11;12;23;24;33;41;36
1995-04-05;15;18;22;28;40;42;25
1995-04-01;7;20;22;24;26;31;41
1995-03-29;2;4;5;18;36;40;20
1995-03-25;2;10;18;36;38;42;25
1995-03-22;1;8;22;29;34;36;4
1995-03-18;1;8;11;14;22;40;17
1995-03-15;8;27;30;32;33;38;7
1995-03-11;2;3;12;14;20;31;10
1995-03-08;13;18;19;37;39;41;25
1995-03-04;4;12;25;26;30;38;14
1995-03-01;5;12;16;17;27;29;8
1995-02-25;7;28;29;30;35;38;23
1995-02-22;13;24;25;30;33;40;20
1995-02-18;9;32;34;39;40;42;24
1995-02-15;10;17;21;26;35;40;29
1995-02-11;1;17;27;32;33;37;29
1995-02-08;4;7;29;31;32;37;42
1995-02-04;6;10;17;22;26;35;11
1995-02-01;11;13;20;25;34;35;9
1995-01-28;1;11;13;22;34;38;33
1995-01-25;2;5;8;39;40;41;29
1995-01-21;14;23;25;29;36;42;15
1995-01-18;6;14;15;17;18;31;30
1995-01-14;10;25;32;33;36;41;12
1995-01-11;5;6;11;22;24;28;12
1995-01-07;4;5;10;12;29;37;17
1995-01-04;8;12;14;25;30;35;19
