Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Viking
2024-12-25;6;10;12;18;30;46;3
2024-12-18;1;12;15;35;37;43;3
2024-12-11;9;21;22;36;39;40;3
2024-12-04;6;16;24;30;32;42;5
2024-11-27;16;20;30;31;36;43;2
2024-11-20;5;11;17;32;42;44;1
2024-11-13;6;17;18;19;25;42;5
2024-11-06;8;18;29;32;36;38;5
2024-10-30;16;29;32;35;44;46;5
2024-10-23;31;34;37;44;45;47;1
2024-10-16;5;9;13;20;22;37;1
2024-10-09;8;18;22;25;43;45;2
2024-10-02;7;9;10;14;33;41;4
2024-09-25;10;13;30;32;33;36;2
2024-09-18;17;21;22;23;31;36;4
2024-09-11;3;19;35;37;39;45;2
2024-09-04;3;13;18;21;23;38;2
2024-08-28;7;12;17;25;28;39;2
2024-08-21;10;13;28;39;44;45;1
2024-08-14;11;18;26;28;30;40;3
2024-08-07;14;16;28;43;47;48;2
2024-07-31;3;8;9;11;15;25;1
2024-07-24;18;27;34;38;39;42;5
2024-07-17;5;7;25;32;35;41;4
2024-07-10;31;35;36;40;41;45;5
2024-07-03;2;4;28;29;34;47;2
2024-06-26;9;35;36;40;41;47;5
2024-06-19;1;5;7;18;28;48;4
2024-06-12;3;14;21;26;41;44;3
2024-06-05;8;11;14;18;39;40;4
2024-05-29;9;12;14;18;31;42;5
2024-05-22;7;13;20;22;36;37;1
2024-05-15;14;16;26;34;41;47;2
2024-05-08;1;7;23;43;44;46;3
2024-05-01;4;7;9;13;40;43;5
2024-04-24;14;22;28;29;34;40;5
2024-04-17;13;23;31;40;41;43;5
2024-04-10;6;10;14;23;31;44;5
2024-04-03;2;3;15;20;39;47;1
2024-03-27;20;21;22;30;34;43;3
2024-03-20;1;11;14;17;32;40;1
2024-03-13;7;11;13;25;42;47;3
2024-03-06;2;8;10;32;39;44;3
2024-02-28;17;23;26;27;41;47;2
2024-02-21;10;15;17;24;40;45;5
2024-02-14;11;25;29;38;42;43;4
2024-02-07;2;3;26;27;34;44;5
2024-01-31;7;14;17;26;33;41;1
2024-01-24;15;29;30;33;43;47;2
2024-01-17;8;11;12;15;38;41;5
2024-01-10;8;10;11;14;17;46;5
2024-01-03;17;22;32;40;45;47;1
